artist,2021-01-02 00:00:00,2021-01-09 00:00:00,2021-01-16 00:00:00,2021-01-23 00:00:00,2021-01-30 00:00:00,2021-02-06 00:00:00,2021-02-13 00:00:00,2021-02-20 00:00:00,2021-02-27 00:00:00,2021-03-06 00:00:00,2021-03-13 00:00:00,2021-03-20 00:00:00,2021-03-27 00:00:00,2021-04-03 00:00:00,2021-04-10 00:00:00,2021-04-17 00:00:00,2021-04-24 00:00:00,2021-05-01 00:00:00,2021-05-08 00:00:00,2021-05-15 00:00:00,2021-05-22 00:00:00,2021-05-29 00:00:00,2021-06-05 00:00:00,2021-06-12 00:00:00,2021-06-19 00:00:00,2021-06-26 00:00:00,2021-07-03 00:00:00,2021-07-10 00:00:00,2021-07-17 00:00:00,2021-07-24 00:00:00,2021-07-31 00:00:00,2021-08-07 00:00:00,2021-08-14 00:00:00,2021-08-21 00:00:00,2021-08-28 00:00:00,2021-09-04 00:00:00,2021-09-11 00:00:00,2021-09-18 00:00:00,2021-09-25 00:00:00,2021-10-02 00:00:00,2021-10-09 00:00:00,2021-10-16 00:00:00,2021-10-23 00:00:00,2021-10-30 00:00:00,2021-11-06 00:00:00
"Nicki Minaj, Drake & Lil Wayne",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Normani Featuring Cardi B,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Olivia Rodrigo,100,100,100,1,1,1,1,1,1,1,1,5,3,4,5,5,9,10,10,14,16,1,2,2,2,2,2,2,2,2,2,3,2,2,3,3,4,15,7,6,7,6,6,7,8
Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Polo G,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,4,6,7,15,17,14,14,11,11,13,12,14,13,16,19,100,100,100,100,100,100,100,100,100,100,100,100
Pooh Shiesty Featuring Lil Durk,100,100,100,100,100,100,100,17,16,13,13,16,14,13,100,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Pop Smoke,100,100,100,100,100,19,13,10,12,11,9,12,12,9,10,12,14,17,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Pop Smoke Featuring Lil Baby & DaBaby,100,13,11,15,11,11,15,12,14,15,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Post Malone,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Rod Wave,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
